Borough,grade,date,year,month
Queens,A,2021-07-26,2021,7
Manhattan,A,2020-02-13,2020,2
Queens,A,2020-03-05,2020,3
Queens,A,2020-03-05,2020,3
Manhattan,A,2020-03-11,2020,3
Manhattan,A,2020-02-06,2020,2
Manhattan,A,2021-09-01,2021,9
Manhattan,A,2021-09-07,2021,9
Queens,A,2020-02-12,2020,2
Queens,A,2020-02-12,2020,2
Queens,B,2020-01-21,2020,1
Queens,B,2020-01-21,2020,1
Brooklyn,A,2021-10-05,2021,10
Manhattan,A,2021-08-12,2021,8
Brooklyn,A,2020-01-06,2020,1
Queens,A,2021-07-29,2021,7
Brooklyn,A,2020-03-06,2020,3
Staten,A,2020-03-03,2020,3
Brooklyn,A,2020-01-30,2020,1
Bronx,A,2020-01-02,2020,1
Manhattan,A,2020-02-28,2020,2
Manhattan,A,2020-01-14,2020,1
Queens,A,2021-11-19,2021,11
Queens,A,2020-01-31,2020,1
Bronx,B,2020-01-15,2020,1
Bronx,B,2020-01-15,2020,1
Brooklyn,A,2020-01-16,2020,1
Brooklyn,B,2020-02-24,2020,2
Brooklyn,A,2020-01-16,2020,1
Brooklyn,A,2020-01-16,2020,1
Manhattan,A,2020-03-09,2020,3
Manhattan,A,2020-03-03,2020,3
Manhattan,A,2020-03-10,2020,3
Queens,A,2021-08-23,2021,8
Manhattan,A,2020-02-27,2020,2
Brooklyn,A,2021-08-03,2021,8
Manhattan,A,2020-01-27,2020,1
Manhattan,A,2021-08-12,2021,8
Queens,A,2021-09-22,2021,9
Manhattan,B,2020-02-24,2020,2
Brooklyn,A,2020-02-25,2020,2
Brooklyn,A,2020-02-08,2020,2
Brooklyn,A,2020-02-19,2020,2
Bronx,A,2020-01-09,2020,1
Queens,A,2021-09-09,2021,9
Manhattan,A,2020-03-09,2020,3
Brooklyn,A,2020-03-11,2020,3
Brooklyn,A,2021-08-12,2021,8
Queens,A,2021-07-22,2021,7
Queens,A,2021-11-18,2021,11
Manhattan,A,2021-07-29,2021,7
Manhattan,A,2020-01-15,2020,1
Manhattan,A,2021-08-19,2021,8
Queens,A,2020-02-20,2020,2
Manhattan,A,2021-08-31,2021,8
Queens,A,2021-12-03,2021,12
Manhattan,A,2020-03-05,2020,3
Manhattan,A,2020-03-05,2020,3
Manhattan,A,2021-07-22,2021,7
Bronx,A,2020-02-28,2020,2
Manhattan,A,2020-01-30,2020,1
Manhattan,A,2020-01-21,2020,1
Bronx,A,2021-08-03,2021,8
Queens,B,2020-02-24,2020,2
Brooklyn,A,2021-08-16,2021,8
Manhattan,A,2020-02-27,2020,2
Manhattan,A,2020-02-27,2020,2
Queens,C,2020-02-01,2020,2
Manhattan,A,2021-08-11,2021,8
Manhattan,A,2021-08-11,2021,8
Manhattan,A,2021-07-29,2021,7
Manhattan,A,2020-01-15,2020,1
Brooklyn,A,2020-01-28,2020,1
Manhattan,A,2020-02-10,2020,2
Manhattan,A,2020-01-31,2020,1
Queens,A,2020-01-22,2020,1
Brooklyn,A,2021-09-13,2021,9
Manhattan,A,2020-02-10,2020,2
Queens,C,2020-02-20,2020,2
Manhattan,A,2021-07-23,2021,7
Brooklyn,A,2020-02-05,2020,2
Manhattan,A,2020-02-04,2020,2
Manhattan,A,2020-01-24,2020,1
Manhattan,A,2020-01-24,2020,1
Queens,C,2021-09-22,2021,9
Brooklyn,A,2020-02-19,2020,2
Brooklyn,A,2021-08-24,2021,8
Queens,A,2021-08-02,2021,8
Bronx,A,2020-02-06,2020,2
Bronx,A,2020-02-06,2020,2
Manhattan,A,2020-03-11,2020,3
Manhattan,A,2020-02-28,2020,2
Brooklyn,A,2020-03-02,2020,3
Queens,A,2020-01-09,2020,1
Brooklyn,A,2021-08-23,2021,8
Manhattan,B,2020-03-06,2020,3
Manhattan,A,2020-01-22,2020,1
Manhattan,A,2020-01-22,2020,1
Bronx,A,2021-09-08,2021,9
Bronx,A,2020-02-25,2020,2
Bronx,A,2020-01-21,2020,1
Queens,A,2020-02-27,2020,2
Manhattan,A,2020-02-19,2020,2
Staten,A,2020-03-04,2020,3
Manhattan,A,2020-01-29,2020,1
Manhattan,A,2020-01-24,2020,1
Bronx,A,2020-01-30,2020,1
Manhattan,A,2020-01-13,2020,1
Manhattan,A,2020-01-30,2020,1
Manhattan,A,2021-11-23,2021,11
Manhattan,A,2021-11-23,2021,11
Queens,A,2021-12-02,2021,12
Manhattan,C,2020-01-28,2020,1
Manhattan,A,2020-02-10,2020,2
Manhattan,A,2020-02-10,2020,2
Queens,A,2020-02-11,2020,2
Bronx,A,2020-01-23,2020,1
Queens,A,2021-08-31,2021,8
Manhattan,A,2021-07-19,2021,7
Bronx,A,2020-02-05,2020,2
Manhattan,A,2020-02-03,2020,2
Manhattan,A,2021-08-24,2021,8
Manhattan,A,2020-01-22,2020,1
Manhattan,A,2020-01-22,2020,1
Queens,A,2020-03-09,2020,3
Manhattan,A,2021-08-18,2021,8
Manhattan,A,2020-02-11,2020,2
Manhattan,A,2020-03-03,2020,3
Bronx,A,2020-02-03,2020,2
Staten,A,2021-11-22,2021,11
Staten,A,2021-11-22,2021,11
Brooklyn,A,2020-03-10,2020,3
Manhattan,A,2021-09-28,2021,9
Manhattan,A,2020-02-07,2020,2
Brooklyn,A,2020-02-13,2020,2
Manhattan,C,2020-02-12,2020,2
Brooklyn,A,2021-08-11,2021,8
Manhattan,A,2020-03-04,2020,3
Manhattan,A,2020-03-04,2020,3
Brooklyn,A,2020-03-12,2020,3
Brooklyn,A,2020-03-12,2020,3
Bronx,A,2021-08-27,2021,8
Brooklyn,A,2021-07-22,2021,7
Brooklyn,B,2020-01-27,2020,1
Manhattan,A,2021-08-19,2021,8
Manhattan,A,2020-01-30,2020,1
Queens,A,2020-01-09,2020,1
Queens,A,2020-01-16,2020,1
Brooklyn,A,2021-08-04,2021,8
Brooklyn,A,2021-08-04,2021,8
Brooklyn,A,2021-08-04,2021,8
Brooklyn,A,2020-01-28,2020,1
Queens,A,2021-08-19,2021,8
Manhattan,A,2021-08-11,2021,8
Brooklyn,B,2020-02-20,2020,2
Brooklyn,A,2020-02-15,2020,2
Manhattan,C,2020-02-26,2020,2
Manhattan,A,2020-02-24,2020,2
Manhattan,A,2020-02-24,2020,2
Manhattan,A,2020-01-10,2020,1
Manhattan,A,2020-01-31,2020,1
Manhattan,A,2021-08-31,2021,8
Bronx,B,2020-02-24,2020,2
Brooklyn,A,2021-07-20,2021,7
Manhattan,A,2020-02-12,2020,2
Queens,A,2020-01-22,2020,1
Manhattan,A,2020-01-16,2020,1
Brooklyn,A,2021-08-04,2021,8
Bronx,A,2020-02-26,2020,2
Manhattan,A,2021-09-09,2021,9
Brooklyn,B,2020-01-27,2020,1
Brooklyn,A,2020-01-23,2020,1
Brooklyn,A,2021-07-21,2021,7
Brooklyn,A,2020-01-14,2020,1
Queens,A,2020-02-14,2020,2
Brooklyn,A,2020-03-13,2020,3
Brooklyn,B,2020-02-24,2020,2
Brooklyn,A,2020-01-23,2020,1
Manhattan,A,2020-01-07,2020,1
Queens,A,2020-01-09,2020,1
Brooklyn,A,2020-01-06,2020,1
Manhattan,B,2020-03-09,2020,3
Manhattan,A,2020-01-29,2020,1
Queens,A,2021-09-03,2021,9
Manhattan,A,2021-08-12,2021,8
Manhattan,A,2021-08-12,2021,8
Manhattan,A,2020-01-08,2020,1
Queens,A,2021-07-28,2021,7
Manhattan,A,2020-01-10,2020,1
Queens,A,2021-11-29,2021,11
Queens,A,2021-11-29,2021,11
Queens,A,2021-08-16,2021,8
Queens,A,2021-08-04,2021,8
Brooklyn,A,2021-08-27,2021,8
Staten,A,2021-07-21,2021,7
Brooklyn,A,2021-08-09,2021,8
Brooklyn,B,2020-01-31,2020,1
Queens,A,2020-01-30,2020,1
Manhattan,B,2020-02-13,2020,2
Queens,A,2021-07-29,2021,7
Manhattan,A,2020-03-16,2020,3
Bronx,C,2020-01-29,2020,1
Bronx,C,2020-01-29,2020,1
Manhattan,A,2020-02-14,2020,2
Manhattan,A,2020-01-31,2020,1
Queens,A,2021-09-01,2021,9
Queens,A,2020-02-05,2020,2
Manhattan,A,2020-02-25,2020,2
Brooklyn,B,2020-03-05,2020,3
Manhattan,A,2020-01-03,2020,1
Manhattan,A,2021-07-20,2021,7
Manhattan,C,2020-02-15,2020,2
Manhattan,A,2020-02-07,2020,2
Manhattan,A,2021-10-21,2021,10
Queens,A,2020-03-05,2020,3
Brooklyn,A,2020-02-03,2020,2
Manhattan,A,2020-03-03,2020,3
Bronx,A,2020-02-10,2020,2
Brooklyn,A,2021-10-27,2021,10
Queens,A,2021-08-09,2021,8
Brooklyn,A,2020-03-13,2020,3
Bronx,A,2021-08-12,2021,8
Manhattan,A,2020-03-12,2020,3
Queens,A,2020-01-22,2020,1
Manhattan,B,2020-02-13,2020,2
Queens,A,2020-03-16,2020,3
Queens,A,2021-08-06,2021,8
Brooklyn,A,2020-01-15,2020,1
Manhattan,B,2020-03-04,2020,3
Queens,A,2020-02-26,2020,2
Manhattan,A,2020-03-03,2020,3
Bronx,A,2020-03-04,2020,3
Bronx,A,2020-01-16,2020,1
Brooklyn,A,2021-07-30,2021,7
Manhattan,A,2021-08-31,2021,8
Manhattan,A,2020-01-10,2020,1
Brooklyn,A,2020-01-29,2020,1
Manhattan,A,2021-08-03,2021,8
Brooklyn,A,2020-01-15,2020,1
Brooklyn,C,2020-01-13,2020,1
Queens,B,2020-02-11,2020,2
Queens,B,2020-02-11,2020,2
Manhattan,A,2020-02-21,2020,2
Manhattan,A,2020-02-21,2020,2
Brooklyn,B,2020-01-27,2020,1
Manhattan,A,2020-01-08,2020,1
Brooklyn,C,2020-01-16,2020,1
Brooklyn,A,2020-01-09,2020,1
Queens,B,2020-01-16,2020,1
Queens,A,2021-12-02,2021,12
Queens,A,2021-11-30,2021,11
Queens,A,2021-11-30,2021,11
Queens,A,2020-01-07,2020,1
Queens,A,2020-01-07,2020,1
Queens,B,2020-02-26,2020,2
Brooklyn,A,2020-02-27,2020,2
Manhattan,A,2020-01-02,2020,1
Brooklyn,A,2020-03-04,2020,3
Brooklyn,A,2020-01-18,2020,1
Brooklyn,C,2020-02-24,2020,2
Queens,A,2020-02-07,2020,2
Manhattan,A,2020-02-11,2020,2
Brooklyn,A,2020-02-10,2020,2
Manhattan,A,2020-01-31,2020,1
Brooklyn,A,2020-02-26,2020,2
Staten,B,2020-03-03,2020,3
Manhattan,A,2020-02-27,2020,2
Bronx,A,2021-09-01,2021,9
Brooklyn,A,2021-08-04,2021,8
Manhattan,A,2020-01-16,2020,1
Manhattan,A,2021-08-25,2021,8
Brooklyn,A,2020-02-04,2020,2
Queens,A,2020-03-04,2020,3
Manhattan,A,2021-08-24,2021,8
Queens,A,2020-03-07,2020,3
Manhattan,A,2021-08-09,2021,8
Queens,A,2020-02-10,2020,2
Brooklyn,A,2020-03-12,2020,3
Staten,A,2020-02-27,2020,2
Queens,A,2020-02-26,2020,2
Brooklyn,A,2020-02-19,2020,2
Manhattan,A,2021-08-17,2021,8
Manhattan,A,2020-01-15,2020,1
Manhattan,A,2020-02-20,2020,2
Queens,A,2020-01-14,2020,1
Manhattan,A,2020-01-09,2020,1
Queens,A,2021-08-11,2021,8
Queens,A,2021-08-11,2021,8
Brooklyn,A,2021-08-03,2021,8
Queens,A,2020-01-08,2020,1
Brooklyn,A,2021-08-19,2021,8
Manhattan,A,2021-07-29,2021,7
Manhattan,A,2020-01-16,2020,1
Manhattan,A,2020-01-08,2020,1
Bronx,A,2021-08-12,2021,8
Manhattan,A,2020-01-06,2020,1
Queens,A,2020-03-03,2020,3
Manhattan,A,2021-10-05,2021,10
Manhattan,B,2020-03-05,2020,3
Manhattan,A,2020-02-28,2020,2
Bronx,A,2020-02-27,2020,2
Brooklyn,A,2020-03-10,2020,3
Manhattan,A,2021-09-03,2021,9
Queens,A,2020-03-03,2020,3
Queens,B,2020-02-27,2020,2
Bronx,A,2021-08-10,2021,8
Queens,A,2021-08-30,2021,8
Bronx,A,2021-09-01,2021,9
Bronx,A,2021-09-01,2021,9
Bronx,A,2020-01-22,2020,1
Brooklyn,B,2020-02-26,2020,2
Brooklyn,B,2020-02-26,2020,2
Manhattan,A,2020-02-13,2020,2
Queens,A,2020-02-20,2020,2
Brooklyn,A,2020-01-28,2020,1
Manhattan,A,2020-02-06,2020,2
Queens,A,2020-01-28,2020,1
Manhattan,A,2020-01-30,2020,1
Bronx,A,2020-02-03,2020,2
Queens,C,2021-09-22,2021,9
Brooklyn,A,2021-09-30,2021,9
Queens,A,2021-07-21,2021,7
Staten,A,2020-02-04,2020,2
Manhattan,A,2020-02-28,2020,2
Queens,A,2020-01-03,2020,1
Manhattan,A,2020-02-14,2020,2
Brooklyn,A,2020-02-26,2020,2
Brooklyn,A,2020-02-25,2020,2
Manhattan,A,2020-03-04,2020,3
Brooklyn,A,2020-02-05,2020,2
Brooklyn,A,2020-01-23,2020,1
Queens,A,2021-08-11,2021,8
Queens,A,2021-07-22,2021,7
Manhattan,A,2020-03-06,2020,3
Manhattan,A,2020-02-07,2020,2
Bronx,B,2020-03-03,2020,3
Brooklyn,A,2020-03-06,2020,3
Manhattan,B,2020-01-27,2020,1
Manhattan,A,2020-02-28,2020,2
Queens,A,2021-09-08,2021,9
Staten,A,2021-10-25,2021,10
Brooklyn,A,2020-02-05,2020,2
Brooklyn,A,2021-08-09,2021,8
Queens,A,2020-01-14,2020,1
Manhattan,A,2020-02-26,2020,2
Manhattan,A,2020-02-04,2020,2
Brooklyn,A,2021-08-28,2021,8
Manhattan,A,2020-01-30,2020,1
Manhattan,A,2020-02-05,2020,2
Queens,A,2020-02-12,2020,2
Manhattan,A,2020-02-10,2020,2
Queens,A,2020-01-30,2020,1
Brooklyn,B,2020-01-04,2020,1
Queens,A,2020-03-09,2020,3
Queens,A,2021-11-19,2021,11
Queens,A,2020-02-27,2020,2
Brooklyn,A,2020-01-27,2020,1
Manhattan,A,2020-03-16,2020,3
Brooklyn,A,2021-07-20,2021,7
Brooklyn,A,2020-02-20,2020,2
Manhattan,A,2020-03-02,2020,3
Manhattan,A,2020-03-02,2020,3
Brooklyn,A,2020-01-02,2020,1
Manhattan,A,2020-01-29,2020,1
Manhattan,A,2020-02-12,2020,2
Brooklyn,A,2020-02-08,2020,2
Manhattan,A,2021-10-12,2021,10
Manhattan,A,2021-10-12,2021,10
Manhattan,A,2021-08-10,2021,8
Queens,A,2021-09-23,2021,9
Brooklyn,A,2020-01-15,2020,1
Manhattan,A,2020-03-12,2020,3
Queens,B,2020-03-14,2020,3
Queens,B,2020-03-14,2020,3
Brooklyn,A,2021-07-20,2021,7
Manhattan,A,2020-02-21,2020,2
Queens,A,2021-07-22,2021,7
Manhattan,A,2020-03-13,2020,3
Queens,A,2020-02-24,2020,2
Queens,A,2020-02-04,2020,2
Queens,A,2020-01-30,2020,1
Manhattan,A,2020-02-10,2020,2
Queens,C,2020-02-12,2020,2
Bronx,A,2020-01-06,2020,1
Brooklyn,A,2021-09-09,2021,9
Manhattan,A,2020-03-10,2020,3
Staten,A,2020-03-03,2020,3
Bronx,A,2020-02-21,2020,2
Staten,A,2021-07-22,2021,7
Manhattan,B,2020-03-05,2020,3
Brooklyn,A,2020-02-18,2020,2
Queens,A,2021-08-30,2021,8
Brooklyn,A,2020-02-13,2020,2
Queens,A,2021-11-10,2021,11
Queens,A,2021-11-19,2021,11
Queens,A,2021-08-18,2021,8
Manhattan,A,2020-03-04,2020,3
Manhattan,A,2021-08-25,2021,8
Brooklyn,A,2020-03-09,2020,3
Queens,B,2020-02-20,2020,2
Queens,B,2020-02-20,2020,2
Manhattan,A,2020-01-30,2020,1
Manhattan,A,2020-01-30,2020,1
Staten,B,2021-09-23,2021,9
Brooklyn,A,2021-07-23,2021,7
Manhattan,A,2020-02-12,2020,2
Queens,A,2021-11-10,2021,11
Manhattan,C,2020-02-27,2020,2
Manhattan,A,2020-01-16,2020,1
Queens,A,2021-11-19,2021,11
Queens,A,2021-07-22,2021,7
Brooklyn,A,2020-03-03,2020,3
Brooklyn,A,2021-07-22,2021,7
Manhattan,A,2020-01-07,2020,1
Manhattan,B,2020-03-10,2020,3
Staten,A,2021-08-23,2021,8
Brooklyn,A,2020-02-18,2020,2
Queens,A,2020-01-28,2020,1
Bronx,A,2021-09-09,2021,9
Manhattan,A,2020-01-16,2020,1
Queens,B,2020-02-29,2020,2
Queens,A,2020-02-20,2020,2
Queens,A,2020-01-27,2020,1
Manhattan,A,2020-01-31,2020,1
Manhattan,A,2020-02-27,2020,2
Brooklyn,A,2020-01-31,2020,1
Manhattan,A,2020-02-24,2020,2
Queens,A,2021-08-26,2021,8
Queens,B,2021-09-27,2021,9
Brooklyn,A,2020-01-16,2020,1
Queens,A,2020-01-09,2020,1
Brooklyn,A,2020-01-27,2020,1
Queens,A,2020-03-16,2020,3
Bronx,A,2020-01-17,2020,1
Bronx,A,2021-07-21,2021,7
Brooklyn,A,2021-08-26,2021,8
Brooklyn,A,2020-01-08,2020,1
Brooklyn,A,2020-02-10,2020,2
Bronx,A,2020-01-08,2020,1
Queens,A,2020-02-21,2020,2
Brooklyn,C,2020-02-24,2020,2
Manhattan,A,2021-07-27,2021,7
Queens,A,2020-01-02,2020,1
Brooklyn,A,2020-02-15,2020,2
Brooklyn,B,2020-01-06,2020,1
Bronx,A,2020-01-06,2020,1
Bronx,A,2020-01-06,2020,1
Queens,A,2021-08-04,2021,8
Brooklyn,B,2020-03-02,2020,3
Brooklyn,A,2020-01-03,2020,1
Manhattan,A,2020-01-31,2020,1
Brooklyn,A,2020-02-06,2020,2
Bronx,B,2020-02-12,2020,2
Manhattan,C,2020-01-28,2020,1
Queens,A,2021-09-09,2021,9
Manhattan,A,2020-02-12,2020,2
Manhattan,A,2020-01-28,2020,1
Manhattan,A,2020-03-05,2020,3
Manhattan,C,2020-02-24,2020,2
Brooklyn,A,2020-01-21,2020,1
Manhattan,A,2020-02-06,2020,2
Manhattan,A,2021-08-11,2021,8
Manhattan,A,2021-08-11,2021,8
Manhattan,A,2021-08-11,2021,8
Bronx,A,2020-02-28,2020,2
Bronx,A,2020-02-28,2020,2
Manhattan,A,2020-01-30,2020,1
Brooklyn,A,2020-01-03,2020,1
Queens,A,2020-01-17,2020,1
Queens,A,2021-08-18,2021,8
Manhattan,A,2021-08-09,2021,8
Manhattan,B,2020-01-16,2020,1
Manhattan,B,2020-01-16,2020,1
Bronx,A,2020-02-03,2020,2
Manhattan,A,2020-02-22,2020,2
Manhattan,A,2020-02-07,2020,2
Brooklyn,A,2020-01-21,2020,1
Brooklyn,A,2020-01-21,2020,1
Manhattan,A,2020-01-09,2020,1
Manhattan,A,2021-11-17,2021,11
Queens,C,2020-03-11,2020,3
Queens,A,2021-08-02,2021,8
Brooklyn,B,2020-03-07,2020,3
Queens,A,2020-01-29,2020,1
Manhattan,A,2020-03-12,2020,3
Queens,A,2020-02-05,2020,2
Staten,B,2020-01-08,2020,1
Brooklyn,A,2020-01-29,2020,1
Manhattan,A,2021-08-04,2021,8
Bronx,A,2020-02-28,2020,2
Brooklyn,A,2021-11-08,2021,11
Manhattan,A,2021-08-11,2021,8
Brooklyn,A,2020-02-07,2020,2
Queens,A,2020-03-16,2020,3
Manhattan,A,2020-03-09,2020,3
Manhattan,A,2020-01-28,2020,1
Manhattan,A,2020-03-10,2020,3
Brooklyn,A,2020-01-13,2020,1
Queens,A,2020-03-02,2020,3
Queens,C,2021-09-27,2021,9
Queens,A,2020-03-09,2020,3
Bronx,B,2020-02-12,2020,2
Manhattan,A,2021-08-03,2021,8
Manhattan,A,2020-02-27,2020,2
Manhattan,A,2020-02-19,2020,2
Bronx,A,2020-02-28,2020,2
Manhattan,A,2021-09-15,2021,9
Bronx,A,2020-01-08,2020,1
Bronx,A,2021-08-09,2021,8
Queens,A,2021-09-08,2021,9
Manhattan,A,2021-08-24,2021,8
Staten,B,2020-02-27,2020,2
Manhattan,A,2021-09-08,2021,9
Staten,A,2020-02-11,2020,2
Queens,A,2020-01-07,2020,1
Queens,A,2020-01-07,2020,1
Manhattan,A,2020-01-22,2020,1
Staten,A,2021-10-25,2021,10
Queens,B,2020-02-06,2020,2
Manhattan,A,2020-02-05,2020,2
Queens,C,2020-02-14,2020,2
Brooklyn,B,2020-01-14,2020,1
Bronx,A,2020-02-19,2020,2
Queens,A,2020-02-04,2020,2
Manhattan,A,2020-03-12,2020,3
Manhattan,A,2020-03-03,2020,3
Bronx,A,2020-02-12,2020,2
Bronx,A,2020-02-12,2020,2
Manhattan,A,2020-02-24,2020,2
Manhattan,A,2020-02-26,2020,2
Brooklyn,A,2020-02-28,2020,2
Manhattan,A,2021-10-15,2021,10
Queens,B,2020-02-27,2020,2
Queens,A,2021-08-19,2021,8
Queens,A,2020-01-06,2020,1
Queens,A,2020-01-14,2020,1
Queens,A,2021-08-26,2021,8
Manhattan,A,2021-09-14,2021,9
Brooklyn,A,2020-03-10,2020,3
Queens,A,2021-07-22,2021,7
Brooklyn,C,2020-01-13,2020,1
Brooklyn,C,2020-01-13,2020,1
Manhattan,A,2021-08-25,2021,8
Manhattan,A,2021-08-25,2021,8
Queens,A,2021-08-10,2021,8
Queens,A,2020-02-04,2020,2
Queens,A,2020-02-04,2020,2
Manhattan,A,2021-08-05,2021,8
Bronx,A,2021-11-03,2021,11
Bronx,B,2020-01-23,2020,1
Manhattan,C,2021-09-13,2021,9
Manhattan,A,2020-02-21,2020,2
Queens,A,2021-08-13,2021,8
Queens,A,2021-08-12,2021,8
Manhattan,A,2020-03-12,2020,3
Manhattan,A,2021-07-23,2021,7
Manhattan,A,2020-03-06,2020,3
Manhattan,A,2020-03-06,2020,3
Brooklyn,A,2021-12-01,2021,12
Queens,A,2020-03-10,2020,3
Queens,A,2021-08-02,2021,8
Brooklyn,A,2021-08-09,2021,8
Queens,A,2020-01-24,2020,1
Queens,A,2021-07-26,2021,7
Bronx,B,2020-03-03,2020,3
Brooklyn,A,2020-02-25,2020,2
Manhattan,A,2021-08-03,2021,8
Brooklyn,A,2020-03-04,2020,3
Brooklyn,A,2020-03-04,2020,3
Manhattan,A,2021-08-25,2021,8
Manhattan,A,2020-02-21,2020,2
Brooklyn,A,2020-02-11,2020,2
Brooklyn,A,2020-02-11,2020,2
Manhattan,A,2020-01-09,2020,1
Brooklyn,A,2020-01-30,2020,1
Brooklyn,A,2020-03-10,2020,3
Staten,A,2021-09-08,2021,9
Queens,A,2021-09-16,2021,9
Manhattan,A,2020-01-13,2020,1
Queens,A,2020-01-15,2020,1
Manhattan,A,2021-07-19,2021,7
Manhattan,A,2021-07-19,2021,7
Manhattan,A,2021-11-12,2021,11
Queens,B,2020-02-13,2020,2
Bronx,A,2020-01-22,2020,1
Manhattan,A,2020-01-27,2020,1
Staten,A,2020-02-04,2020,2
Manhattan,A,2020-01-15,2020,1
Bronx,A,2020-02-12,2020,2
Manhattan,A,2020-01-09,2020,1
Manhattan,A,2021-08-17,2021,8
Queens,C,2021-10-15,2021,10
Queens,A,2021-08-04,2021,8
Manhattan,A,2021-08-10,2021,8
Manhattan,A,2020-03-06,2020,3
Staten,A,2021-08-23,2021,8
Queens,A,2020-01-21,2020,1
Manhattan,B,2020-03-12,2020,3
Brooklyn,A,2020-02-20,2020,2
Queens,A,2020-02-22,2020,2
Manhattan,A,2020-02-06,2020,2
Manhattan,A,2021-07-29,2021,7
Manhattan,A,2020-02-11,2020,2
Manhattan,A,2020-01-29,2020,1
Manhattan,A,2020-03-04,2020,3
Brooklyn,A,2021-08-24,2021,8
Manhattan,A,2020-01-15,2020,1
Manhattan,A,2021-11-12,2021,11
Manhattan,A,2020-02-11,2020,2
Queens,A,2020-01-25,2020,1
Brooklyn,A,2021-07-26,2021,7
Manhattan,A,2020-01-02,2020,1
Queens,A,2020-02-15,2020,2
Manhattan,A,2020-02-10,2020,2
Manhattan,A,2020-02-18,2020,2
Manhattan,A,2020-03-13,2020,3
Manhattan,A,2021-07-22,2021,7
Manhattan,A,2021-08-17,2021,8
Queens,C,2021-08-16,2021,8
Queens,C,2021-08-16,2021,8
Bronx,A,2020-01-21,2020,1
Queens,A,2020-03-05,2020,3
Manhattan,C,2020-02-19,2020,2
Bronx,A,2020-02-03,2020,2
Brooklyn,A,2021-07-22,2021,7
Queens,A,2020-03-12,2020,3
Brooklyn,A,2021-09-07,2021,9
Queens,A,2020-02-20,2020,2
Manhattan,A,2020-01-02,2020,1
Queens,A,2020-02-24,2020,2
Queens,A,2020-03-02,2020,3
Manhattan,A,2021-08-18,2021,8
Manhattan,A,2021-08-18,2021,8
Manhattan,A,2020-02-10,2020,2
Brooklyn,A,2020-01-15,2020,1
Manhattan,A,2020-01-06,2020,1
Manhattan,A,2020-03-04,2020,3
Brooklyn,A,2021-08-02,2021,8
Brooklyn,A,2020-03-05,2020,3
Manhattan,A,2020-01-22,2020,1
Queens,A,2020-01-06,2020,1
Brooklyn,A,2020-02-06,2020,2
Brooklyn,A,2020-02-06,2020,2
Queens,A,2020-01-02,2020,1
Bronx,A,2020-01-27,2020,1
Queens,B,2020-03-04,2020,3
Bronx,B,2020-01-09,2020,1
Manhattan,A,2021-07-22,2021,7
Bronx,A,2021-08-03,2021,8
Manhattan,A,2020-01-23,2020,1
Queens,A,2020-03-04,2020,3
Brooklyn,A,2021-11-16,2021,11
Manhattan,A,2020-03-10,2020,3
Manhattan,B,2020-03-03,2020,3
Bronx,A,2021-10-26,2021,10
Staten,A,2021-08-23,2021,8
Manhattan,A,2020-02-26,2020,2
Brooklyn,B,2020-01-10,2020,1
Brooklyn,A,2020-03-16,2020,3
Manhattan,A,2021-08-16,2021,8
Bronx,A,2021-10-27,2021,10
Queens,A,2021-07-29,2021,7
Queens,B,2020-03-10,2020,3
Brooklyn,A,2020-01-23,2020,1
Brooklyn,A,2021-08-05,2021,8
Manhattan,A,2021-12-02,2021,12
Queens,A,2021-08-18,2021,8
Brooklyn,A,2020-02-14,2020,2
Manhattan,B,2021-08-03,2021,8
Manhattan,B,2020-03-09,2020,3
Bronx,A,2020-01-22,2020,1
Manhattan,A,2020-01-16,2020,1
Queens,A,2020-02-24,2020,2
Manhattan,A,2021-07-27,2021,7
Manhattan,A,2021-10-18,2021,10
Queens,A,2020-01-29,2020,1
Manhattan,A,2021-08-05,2021,8
Manhattan,A,2021-08-05,2021,8
Manhattan,A,2021-07-19,2021,7
Manhattan,A,2020-03-16,2020,3
Manhattan,A,2020-02-19,2020,2
Manhattan,A,2020-02-24,2020,2
Brooklyn,A,2021-09-08,2021,9
Bronx,A,2021-08-02,2021,8
Brooklyn,A,2021-11-18,2021,11
Manhattan,A,2020-01-09,2020,1
Manhattan,A,2020-01-30,2020,1
Staten,B,2020-01-15,2020,1
Manhattan,A,2020-02-04,2020,2
Queens,A,2021-10-19,2021,10
Manhattan,A,2020-01-15,2020,1
Manhattan,A,2021-11-05,2021,11
Manhattan,A,2020-01-22,2020,1
Manhattan,A,2021-08-25,2021,8
Manhattan,A,2021-07-27,2021,7
Manhattan,A,2020-01-15,2020,1
Brooklyn,A,2020-01-04,2020,1
Manhattan,A,2020-02-12,2020,2
Manhattan,B,2020-02-12,2020,2
Bronx,A,2021-12-02,2021,12
Bronx,A,2021-12-02,2021,12
Manhattan,A,2021-10-20,2021,10
Manhattan,A,2020-02-06,2020,2
Bronx,A,2020-02-12,2020,2
Queens,A,2020-01-15,2020,1
Queens,C,2020-01-23,2020,1
Manhattan,A,2020-01-27,2020,1
Manhattan,A,2020-01-16,2020,1
Manhattan,A,2020-01-15,2020,1
Queens,A,2020-03-10,2020,3
Queens,A,2020-01-29,2020,1
Brooklyn,B,2020-01-30,2020,1
Brooklyn,A,2020-01-27,2020,1
Bronx,A,2020-02-20,2020,2
Staten,A,2020-03-04,2020,3
